protocol,count,p_i,q_i_proj,abs_diff
ipv6-opts,132.0,0.0005122771885296481,0.0,0.0005122771885296481
br-sat-mon,132.0,0.0005122771885296481,0.0,0.0005122771885296481
nsfnet-igp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
tcf,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sprite-rpc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
zero,132.0,0.0005122771885296481,0.0,0.0005122771885296481
aes-sp3-d,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sccopmce,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipv6-frag,132.0,0.0005122771885296481,0.0,0.0005122771885296481
qnx,132.0,0.0005122771885296481,0.0,0.0005122771885296481
cpnx,132.0,0.0005122771885296481,0.0,0.0005122771885296481
etherip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
aris,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ddp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
compaq-peer,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ttp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
narp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
vrrp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
vines,132.0,0.0005122771885296481,0.0,0.0005122771885296481
iatp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ddx,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sat-mon,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sm,132.0,0.0005122771885296481,0.0,0.0005122771885296481
smp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
fire,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ptp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sps,132.0,0.0005122771885296481,0.0,0.0005122771885296481
merit-inp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
idpr,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ippc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
larp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
skip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
micp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
encap,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ifmp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
tp++,132.0,0.0005122771885296481,0.0,0.0005122771885296481
a/n,132.0,0.0005122771885296481,0.0,0.0005122771885296481
i-nlsp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipx-n-ip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
sdrp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
tlsp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
mhrp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pri-enc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
srp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
isis,132.0,0.0005122771885296481,0.0,0.0005122771885296481
uti,132.0,0.0005122771885296481,0.0,0.0005122771885296481
igp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
l2tp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
stp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
crudp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
iplt,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ggp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
ipnip,132.0,0.0005122771885296481,0.0,0.0005122771885296481
visa,132.0,0.0005122771885296481,0.0,0.0005122771885296481
bbn-rcc,132.0,0.0005122771885296481,0.0,0.0005122771885296481
emcon,132.0,0.0005122771885296481,0.0,0.0005122771885296481
secure-vmtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
st2,132.0,0.0005122771885296481,0.0,0.0005122771885296481
pup,132.0,0.0005122771885296481,0.0,0.0005122771885296481
leaf-2,132.0,0.0005122771885296481,0.0,0.0005122771885296481
xnet,132.0,0.0005122771885296481,0.0,0.0005122771885296481
trunk-2,132.0,0.0005122771885296481,0.0,0.0005122771885296481
iso-tp4,132.0,0.0005122771885296481,0.0,0.0005122771885296481
irtp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
nvp,132.0,0.0005122771885296481,0.0,0.0005122771885296481
trunk-1,132.0,0.0005122771885296481,0.0,0.0005122771885296481
dcn,132.0,0.0005122771885296481,0.0,0.0005122771885296481
mux,132.0,0.0005122771885296481,0.0,0.0005122771885296481
chaos,132.0,0.0005122771885296481,0.0,0.0005122771885296481
hmp,131.0,0.0005083963007377568,0.0,0.0005083963007377568
crtp,131.0,0.0005083963007377568,0.0,0.0005083963007377568
egp,131.0,0.0005083963007377568,0.0,0.0005083963007377568
argus,131.0,0.0005083963007377568,0.0,0.0005083963007377568
rdp,131.0,0.0005083963007377568,0.0,0.0005083963007377568
netblt,131.0,0.0005083963007377568,0.0,0.0005083963007377568
igmp,48.0,0.00018628261401078112,0.0,0.00018628261401078112
icmp,15.0,5.82133168783691e-05,0.009990009990009992,0.009931796673131623
rtp,1.0,3.880887791891273e-06,0.0,3.880887791891273e-06
